year,gender,stage,race_no,team_raw,team,lane,time_sec,place
2025,M,heat,1,OSI H1,OSIH1,1,253.6,1
2025,M,heat,1,BSI H1,BSIH1,2,277.8,2
2025,M,heat,1,RNNA BC TQ,RNNABC2,3,291.6,4
2025,M,heat,1,JRC,JRC,4,288.6,3
2025,M,heat,2,NTNUI H1,NTNUIH1,1,297.8,1
2025,M,heat,2,CREW,CREW,2,313.7,2
2025,M,heat,2,NTNUI H3,NTNUIH3,3,327.8,3
2025,M,heat,2,MRK H1,MRKH1,4,341.6,4
2025,M,heat,2,BSI H2,BSIH2,5,342.9,5
2025,M,heat,3,RNNA BC,RNNABC1,1,303.8,2
2025,M,heat,3,NTNUI H2,NTNUIH2,2,303.2,1
2025,M,heat,3,JUSTITIA H1,JUSTITIAH1,3,323.7,3
2025,M,heat,3,OSI H2,OSIH2,4,333.8,4
2025,M,heat,3,BIA,BIA,5,347.5,5
2025,W,heat,4,NTNUI D1,NTNUID1,1,338.1,1
2025,W,heat,4,OKTAGON D1,OKTAGOND1,2,380.0,4
2025,W,heat,4,BSI D1,BSID1,3,371.5,3
2025,W,heat,4,MRK D1,MRKD1,4,359.0,2
2025,W,heat,4,OMR D2,OMRD2,5,491.1,5
2025,W,heat,5,OSI D1,OSID1,1,337.2,1
2025,W,heat,5,JUSTITIA D1,JUSTITIAD1,2,338.6,2
2025,W,heat,5,SKKR,SKKRD1,3,345.7,3
2025,W,heat,5,OSI D2,OSID2,4,391.0,5
2025,W,heat,5,BSI D2,BSID2,5,380.8,4
2025,W,heat,6,NTNUI D2,NTNUID2,1,367.1,2
2025,W,heat,6,JUSTITIA D2,JUSTITIAD2,2,351.4,1
2025,W,heat,6,JRC,JRC,3,378.1,3
2025,W,heat,6,MRK D2,MRKD2,4,383.9,5
2025,W,heat,6,OMR D1,OMRD1,5,382.9,4
2025,M,rep,7,BIA,BIA,,365.6,5
2025,M,rep,7,NTNUI H3,NTNUIH3,,355.1,3
2025,M,rep,7,BSI H1,BSIH1,,331.3,2
2025,M,rep,7,RNNA BC,RNNABC1,,325.8,1
2025,M,rep,7,RNNA TQ,RNNABC2,,364.6,4
2025,M,rep,8,JUSTITIA H1,JUSTITIAH1,1,346.1,2
2025,M,rep,8,CREW,CREW,2,331.7,1
2025,M,rep,8,JRC,JRC,3,367.9,4
2025,M,rep,8,MRK H1,MRKH1,4,378.4,6
2025,M,rep,8,OSI H2,OSIH2,5,358.9,3
2025,M,rep,8,BSI H2,BSIH2,6,370.0,5
2025,W,rep,9,JUSTITA D1,JUSTITIAD1,1,368.3,1
2025,W,rep,9,NTNUI D2,NTNUID2,2,379.1,2
2025,W,rep,9,BSI D1,BSID1,3,387.0,3
2025,W,rep,9,MRK D2,MRKD2,4,401.4,5
2025,W,rep,9,OMR D1,OMRD1,5,408.8,6
2025,W,rep,9,OSI D2,OSID2,6,400.2,4
2025,W,rep,10,MRK D1,MRKD1,1,388.9,3
2025,W,rep,10,SKKR,SKKRD1,2,372.4,1
2025,W,rep,10,JRC,JRC,3,387.4,2
2025,W,rep,10,BSI D2,BSID2,4,420.1,5
2025,W,rep,10,OKTAGON,OKTAGOND1,5,394.8,4
2025,W,rep,10,OMR D2,OMRD2,6,488.3,6
2025,M,A,11,CREW,CREW,1,329.7,3
2025,M,A,11,NTNUI H2,NTNUIH2,2,342.0,5
2025,M,A,11,OSI H1,OSIH1,3,321.5,2
2025,M,A,11,NTNUI H1,NTNUIH1,4,317.7,1
2025,M,A,11,RNNA BC,RNNABC1,5,343.9,6
2025,M,A,11,BSI H1,BSIH1,6,337.9,4
2025,W,A,12,SKKR,SKKRD1,1,427.0,3
2025,W,A,12,JUSTITIA D2,JUSTITIAD2,2,521.2,6
2025,W,A,12,NTNUI D1,NTNUID1,3,409.8,1
2025,W,A,12,OSI D1,OSID1,4,423.3,2
2025,W,A,12,JUSTITIA D1,JUSTITIAD1,5,428.2,4
2025,W,A,12,NTNUI D2,NTNUID2,6,474.7,5
2024,M,heat,1,BISI H1,BIA,1,438.25,5
2024,M,heat,1,NTNUI H3,NTNUIH3,2,338.6,4
2024,M,heat,1,NTNUI H1,NTNUIH1,3,301.39,1
2024,M,heat,1,CREW H1,CREW,4,306.08,2
2024,M,heat,1,MRK H1,MRKH1,5,337.01,3
2024,M,heat,2,MRK H2,MRKH2,1,369.0151,5
2024,M,heat,2,NTNUI H2,NTNUIH2,2,322.7,3
2024,M,heat,2,OSI H1,OSIH1,3,294.24,1
2024,M,heat,2,BSI H1,BSIH1,4,297.05,2
2024,M,heat,2,RNNA BC H2,RNNABC2,5,333.58,4
2024,M,heat,3,BSI H2,BSIH2,1,332.24,5
2024,M,heat,3,MRK-JRC H1,JRC,2,330.28,4
2024,M,heat,3,RNNA BC H1,RNNABC1,3,303.68,1
2024,M,heat,3,JUSTITIA H1,JUSTITIAH1,4,317.36,2
2024,M,heat,3,OSI H2,OSIH2,5,322.01,3
2024,W,heat,4,MRK D2,MRKD2,1,374.17,5
2024,W,heat,4,JUSTITIA D2,JUSTITIAD2,2,350.73,3
2024,W,heat,4,NTNUI D1,NTNUID1,3,325.11,1
2024,W,heat,4,OSI D1,OSID1,4,330.62,2
2024,W,heat,4,BSI D1,BSID1,5,359.16,4
2024,W,heat,5,BSI D2,BSID2,1,379.19,5
2024,W,heat,5,NTNUI D3,NTNUID3,2,348.2,3
2024,W,heat,5,OKTAGON D1,OKTAGOND1,3,342.28,1
2024,W,heat,5,SKKR D1,SKKRD1,4,343.95,2
2024,W,heat,5,OSI D2,OSID2,5,352.85,4
2024,W,heat,6,MRK-JRC D1,JRCD1,1,359.35,2
2024,W,heat,6,MRK D1,MRKD1,2,365.01,3
2024,W,heat,6,JUSTITIA D1,JUSTITIAD1,3,490.26,5
2024,W,heat,6,NTNUI D2,NTNUID2,4,336.15,1
2024,W,heat,6,OKTAGON D2,OKTAGOND2,5,436.86,4
2024,M,rep,7,BSI H2,BSIH2,1,345.72,5
2024,M,rep,7,NTNUI H2,NTNUIH2,2,303.07,2
2024,M,rep,7,CREW,CREW,3,297.3,1
2024,M,rep,7,JUSTITIA H1,JUSTITIAH1,4,319.16,4
2024,M,rep,7,NTNUI H3,NTNUIH3,5,314.94,3
2024,M,rep,7,MRK H2,MRKH2,6,362.7,6
2024,M,rep,8,BISI H1,BIA,1,434.97,6
2024,M,rep,8,OSI H2,OSIH2,2,325.63,5
2024,M,rep,8,BSI H1,BSIH1,3,300.44,1
2024,M,rep,8,MRK H1,MRKH1,4,324.91,4
2024,M,rep,8,RNNA BC H2,RNNABC2,5,313.98,2
2024,M,rep,8,MRK-JRC H1,JRC,6,322.43,3
2024,W,rep,9,OKTAGON D2,OKTAGOND2,1,401.08,6
2024,W,rep,9,JUSTITIA D2,JUSTITIAD2,2,335.31,2
2024,W,rep,9,OSI D1,OSID1,3,326.14,1
2024,W,rep,9,MRK JRC D1,JRCD1,4,348.85,4
2024,W,rep,9,BSI D1,BSID1,5,343.34,3
2024,W,rep,9,MRK D2,MRKD2,6,369.29,5
2024,W,rep,10,BSI D2,BSID2,1,397.55,6
2024,W,rep,10,MRK D1,MRKD1,2,359.31,4
2024,W,rep,10,SKKR D1,SKKRD1,3,344.13,3
2024,W,rep,10,NTNUI D3,NTNUID3,4,337.55,1
2024,W,rep,10,OSI D2,OSID2,5,362.66,5
2024,W,rep,10,JUSTITIA D1,JUSTITIAD1,6,341.49,2
2024,M,A,11,BSI H1,BSIH1,1,291.02,4
2024,M,A,11,RNNA BC H1,RNNABC1,2,288.75,3
2024,M,A,11,NTNUI H1,NTNUIH1,3,287.06,2
2024,M,A,11,OSI H1,OSIH1,4,284.67,1
2024,M,A,11,CREW,CREW,5,302.44,5
2024,M,A,11,NTNUI H2,NTNUIH2,6,311.56,6
2024,W,A,12,NTNUI D3,NTNUID3,1,347.87,5
2024,W,A,12,NTNUI D2,NTNUID2,2,329.24,3
2024,W,A,12,NTNUI D1,NTNUID1,3,318.08,1
2024,W,A,12,OKTAGON D1,OKTAGOND1,4,344.47,4
2024,W,A,12,OSI D1,OSID1,5,328.17,2
2024,W,A,12,JUSTITIA D2,JUSTITIAD2,6,366.17,6
